stage,dataset,record_id,column_name,issue_type,issue_description,action_taken
2. Combine & Deduplicate,orders,ORD000056,order_id,DUPLICATE_KEY,Duplicate order_id found (2 occurrences). Kept latest record.,DEDUPLICATED (keep=last)
2. Combine & Deduplicate,orders,ORD000416,order_id,DUPLICATE_KEY,Duplicate order_id found (2 occurrences). Kept latest record.,DEDUPLICATED (keep=last)
3. Clean Customers,customers,C0029,email,MISSING_EMAIL,Customer email address is missing/null.,SET_NULL
3. Clean Customers,customers,C0058,email,MISSING_EMAIL,Customer email address is missing/null.,SET_NULL
3. Clean Customers,customers,C0087,email,MISSING_EMAIL,Customer email address is missing/null.,SET_NULL
3. Clean Customers,customers,C0116,email,MISSING_EMAIL,Customer email address is missing/null.,SET_NULL
3. Clean Customers,customers,C0145,email,MISSING_EMAIL,Customer email address is missing/null.,SET_NULL
3. Clean Customers,customers,C0002,province,NON_STANDARD_PROVINCE,Non-standard province name: 'Chonburi',STANDARDIZED to 'ชลบุรี'
3. Clean Customers,customers,C0007,province,NON_STANDARD_PROVINCE,Non-standard province name: 'Bangkok',STANDARDIZED to 'กรุงเทพมหานคร'
3. Clean Customers,customers,C0009,province,NON_STANDARD_PROVINCE,Non-standard province name: 'Phuket',STANDARDIZED to 'ภูเก็ต'
3. Clean Customers,customers,C0010,province,NON_STANDARD_PROVINCE,Non-standard province name: 'ชลบุรี ',STANDARDIZED to 'ชลบุรี'
3. Clean Customers,customers,C0011,province,NON_STANDARD_PROVINCE,Non-standard province name: 'Chonburi',STANDARDIZED to 'ชลบุรี'
3. Clean Customers,customers,C0012,province,NON_STANDARD_PROVINCE,Non-standard province name: 'ขอนเเก่น',STANDARDIZED to 'ขอนแก่น'
3. Clean Customers,customers,C0013,province,NON_STANDARD_PROVINCE,Non-standard province name: 'Chiang Mai',STANDARDIZED to 'เชียงใหม่'
3. Clean Customers,customers,C0014,province,NON_STANDARD_PROVINCE,Non-standard province name: 'ขอนเเก่น',STANDARDIZED to 'ขอนแก่น'
3. Clean Customers,customers,C0016,province,NON_STANDARD_PROVINCE,Non-standard province name: 'Chonburi',STANDARDIZED to 'ชลบุรี'
3. Clean Customers,customers,C0019,province,NON_STANDARD_PROVINCE,Non-standard province name: 'Rayong',STANDARDIZED to 'ระยอง'
3. Clean Customers,customers,C0022,province,NON_STANDARD_PROVINCE,Non-standard province name: 'Bangkok',STANDARDIZED to 'กรุงเทพมหานคร'
3. Clean Customers,customers,C0025,province,NON_STANDARD_PROVINCE,Non-standard province name: 'ชลบุรี ',STANDARDIZED to 'ชลบุรี'
3. Clean Customers,customers,C0027,province,NON_STANDARD_PROVINCE,Non-standard province name: 'Bangkok',STANDARDIZED to 'กรุงเทพมหานคร'
3. Clean Customers,customers,C0028,province,NON_STANDARD_PROVINCE,Non-standard province name: 'ขอนเเก่น',STANDARDIZED to 'ขอนแก่น'
3. Clean Customers,customers,C0030,province,NON_STANDARD_PROVINCE,Non-standard province name: 'ชลบุรี ',STANDARDIZED to 'ชลบุรี'
3. Clean Customers,customers,C0031,province,NON_STANDARD_PROVINCE,Non-standard province name: 'Bangkok',STANDARDIZED to 'กรุงเทพมหานคร'
3. Clean Customers,customers,C0034,province,NON_STANDARD_PROVINCE,Non-standard province name: 'Phuket',STANDARDIZED to 'ภูเก็ต'
3. Clean Customers,customers,C0035,province,NON_STANDARD_PROVINCE,Non-standard province name: 'Chonburi',STANDARDIZED to 'ชลบุรี'
3. Clean Customers,customers,C0036,province,NON_STANDARD_PROVINCE,Non-standard province name: 'กทม.',STANDARDIZED to 'กรุงเทพมหานคร'
3. Clean Customers,customers,C0041,province,NON_STANDARD_PROVINCE,Non-standard province name: 'Rayong',STANDARDIZED to 'ระยอง'
3. Clean Customers,customers,C0042,province,NON_STANDARD_PROVINCE,Non-standard province name: 'Rayong',STANDARDIZED to 'ระยอง'
3. Clean Customers,customers,C0045,province,NON_STANDARD_PROVINCE,Non-standard province name: 'Chiang Mai',STANDARDIZED to 'เชียงใหม่'
3. Clean Customers,customers,C0047,province,NON_STANDARD_PROVINCE,Non-standard province name: 'Rayong',STANDARDIZED to 'ระยอง'
3. Clean Customers,customers,C0048,province,NON_STANDARD_PROVINCE,Non-standard province name: 'กทม.',STANDARDIZED to 'กรุงเทพมหานคร'
3. Clean Customers,customers,C0049,province,NON_STANDARD_PROVINCE,Non-standard province name: 'Rayong',STANDARDIZED to 'ระยอง'
3. Clean Customers,customers,C0050,province,NON_STANDARD_PROVINCE,Non-standard province name: 'Chiang Mai',STANDARDIZED to 'เชียงใหม่'
